"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"169","0.7307692170143127","0.7307692170143127","0.7307692170143127","338","338","338"
"170","0.6577796936035156","0.6577796936035156","0.6577796936035156","340","340","340"
"171","0.7377622127532959","0.7377622127532959","0.7377622127532959","342","342","342"
"172","0.7255244851112366","0.7255244851112366","0.7255244851112366","344","344","344"
"173","0.7263985872268677","0.7263985872268677","0.7263985872268677","346","346","346"
"174","0.7027971744537354","0.7027971744537354","0.7027971744537354","348","348","348"
"175","0.6765734553337097","0.6765734553337097","0.6765734553337097","350","350","350"
"176","0.626748263835907","0.626748263835907","0.626748263835907","352","352","352"
"177","0.7176573276519775","0.7176573276519775","0.7176573276519775","354","354","354"
"178","0.7360140085220337","0.7360140085220337","0.7360140085220337","356","356","356"
"179","0.7395104765892029","0.7395104765892029","0.7395104765892029","358","358","358"
"180","0.7189685106277466","0.7189685106277466","0.7189685106277466","360","360","360"
"181","0.7351398468017578","0.7351398468017578","0.7351398468017578","362","362","362"
"182","0.7058566212654114","0.7058566212654114","0.7058566212654114","364","364","364"
"183","0.7246503233909607","0.7246503233909607","0.7246503233909607","366","366","366"
"184","0.7403846383094788","0.7403846383094788","0.7403846383094788","368","368","368"
"185","0.7373251914978027","0.7373251914978027","0.7373251914978027","370","370","370"
"186","0.6687062978744507","0.6687062978744507","0.6687062978744507","372","372","372"
"187","0.6997377872467041","0.6997377872467041","0.6997377872467041","374","374","374"
"188","0.6472902297973633","0.6472902297973633","0.6472902297973633","376","376","376"
"189","0.6402971744537354","0.6402971744537354","0.6402971744537354","378","378","378"
"190","0.7124125957489014","0.7124125957489014","0.7124125957489014","380","380","380"
"191","0.7395104765892029","0.7395104765892029","0.7395104765892029","382","382","382"
"192","0.6958041787147522","0.6958041787147522","0.6958041787147522","384","384","384"
"193","0.7285839319229126","0.7285839319229126","0.7285839319229126","386","386","386"
"194","0.6931818127632141","0.6931818127632141","0.6931818127632141","388","388","388"
"195","0.7237762212753296","0.7237762212753296","0.7237762212753296","390","390","390"
"196","0.7207167744636536","0.7207167744636536","0.7207167744636536","392","392","392"
"197","0.7294580340385437","0.7294580340385437","0.7294580340385437","394","394","394"
"198","0.7220279574394226","0.7220279574394226","0.7220279574394226","396","396","396"
"199","0.7263985872268677","0.7263985872268677","0.7263985872268677","398","398","398"
"200","0.7303321957588196","0.7303321957588196","0.7303321957588196","400","400","400"
"201","0.7202796936035156","0.7202796936035156","0.7202796936035156","402","402","402"
"202","0.7263985872268677","0.7263985872268677","0.7263985872268677","404","404","404"
"203","0.7351398468017578","0.7351398468017578","0.7351398468017578","406","406","406"
"204","0.7211538553237915","0.7211538553237915","0.7211538553237915","408","408","408"
"205","0.7272727489471436","0.7272727489471436","0.7272727489471436","410","410","410"
"206","0.7277097702026367","0.7277097702026367","0.7277097702026367","412","412","412"
"207","0.7224650382995605","0.7224650382995605","0.7224650382995605","414","414","414"
"208","0.6984265446662903","0.6984265446662903","0.6984265446662903","416","416","416"
"209","0.684440553188324","0.684440553188324","0.684440553188324","418","418","418"
"210","0.7111014127731323","0.7111014127731323","0.7111014127731323","420","420","420"
"211","0.6131992936134338","0.6131992936134338","0.6131992936134338","422","422","422"
"212","0.7373251914978027","0.7373251914978027","0.7373251914978027","424","424","424"
"213","0.7342657446861267","0.7342657446861267","0.7342657446861267","426","426","426"
"214","0.6997377872467041","0.6997377872467041","0.6997377872467041","428","428","428"
"215","0.6988636255264282","0.6988636255264282","0.6988636255264282","430","430","430"
"216","0.7207167744636536","0.7207167744636536","0.7207167744636536","432","432","432"
"217","0.7320803999900818","0.7320803999900818","0.7320803999900818","434","434","434"
"218","0.7215909361839294","0.7215909361839294","0.7215909361839294","436","436","436"
"219","0.7460664510726929","0.7460664510726929","0.7460664510726929","438","438","438"
"220","0.7386363744735718","0.7386363744735718","0.7386363744735718","440","440","440"
"221","0.7255244851112366","0.7255244851112366","0.7255244851112366","442","442","442"
"222","0.7303321957588196","0.7303321957588196","0.7303321957588196","444","444","444"
"223","0.7543706297874451","0.7543706297874451","0.7543706297874451","446","446","446"
"224","0.7014859914779663","0.7014859914779663","0.7014859914779663","448","448","448"
"225","0.7290209531784058","0.7290209531784058","0.7290209531784058","450","450","450"
"226","0.6009615659713745","0.6009615659713745","0.6009615659713745","452","452","452"
